iter	Passed	Remaining
0	7	3522
1	14	3305
2	17	2772
3	26	3035
4	34	3185
5	41	3243
6	49	3246
7	57	3294
8	64	3300
9	71	3276
10	74	3106
11	76	2918
12	83	2937
13	91	2964
14	98	2975
15	104	2973
16	111	2970
17	117	2958
18	124	2954
19	130	2946
20	136	2927
21	143	2923
22	149	2911
23	156	2907
24	162	2898
25	169	2890
26	176	2895
27	182	2888
28	189	2886
29	196	2879
30	203	2875
31	209	2865
32	215	2854
33	223	2866
34	237	2945
35	248	3001
36	259	3036
37	270	3080
38	281	3109
39	289	3113
40	297	3117
41	310	3166
42	319	3175
43	327	3173
44	335	3167
45	343	3164
46	351	3163
47	359	3158
48	362	3118
49	370	3111
50	377	3105
51	385	3100
52	393	3093
53	400	3082
54	408	3082
55	413	3054
56	421	3055
57	429	3049
58	436	3044
59	445	3046
60	455	3050
61	463	3047
62	471	3047
63	479	3039
64	487	3038
65	495	3030
66	504	3034
67	513	3034
68	521	3029
69	529	3023
70	536	3017
71	544	3011
72	549	2988
73	556	2978
74	564	2973
75	573	2971
76	583	2979
77	594	2989
78	603	2987
79	612	2986
80	619	2973
81	626	2963
82	635	2961
83	643	2955
84	651	2951
85	658	2941
86	665	2931
87	672	2921
88	680	2912
89	688	2905
90	696	2900
91	704	2893
92	712	2886
93	719	2876
94	726	2868
95	733	2858
96	740	2848
97	747	2837
98	755	2830
99	762	2822
100	770	2813
101	777	2804
102	780	2780
103	787	2772
104	794	2762
105	801	2751
106	808	2741
107	814	2730
108	821	2720
109	827	2709
110	834	2699
111	841	2689
112	848	2679
113	854	2668
114	861	2658
115	868	2649
116	874	2639
117	881	2629
118	888	2619
119	894	2610
120	901	2599
121	909	2593
122	916	2584
123	923	2575
124	930	2567
125	936	2557
126	943	2546
127	949	2536
128	956	2527
129	962	2517
130	968	2507
131	975	2498
132	982	2489
133	989	2479
134	996	2472
135	1002	2462
136	1009	2453
137	1016	2444
138	1022	2435
139	1029	2425
140	1035	2416
141	1042	2408
142	1050	2403
143	1057	2394
144	1064	2386
145	1071	2377
146	1078	2370
147	1085	2361
148	1091	2352
149	1098	2344
150	1105	2335
151	1111	2326
152	1118	2318
153	1125	2309
154	1132	2301
155	1139	2292
156	1145	2284
157	1152	2275
158	1158	2265
159	1165	2257
160	1171	2249
161	1178	2241
162	1186	2234
163	1193	2226
164	1199	2217
165	1206	2209
166	1212	2200
167	1219	2191
168	1225	2182
169	1231	2173
170	1238	2165
171	1245	2157
172	1251	2148
173	1258	2140
174	1264	2132
175	1271	2123
176	1280	2119
177	1287	2111
178	1294	2103
179	1300	2095
180	1306	2086
181	1313	2078
182	1320	2070
183	1327	2062
184	1334	2055
185	1341	2047
186	1347	2039
187	1354	2031
188	1361	2023
189	1367	2015
190	1374	2008
191	1381	2000
192	1387	1991
193	1394	1984
194	1401	1976
195	1408	1969
196	1414	1960
197	1421	1952
198	1428	1945
199	1435	1938
200	1442	1930
201	1449	1922
202	1456	1915
203	1463	1908
204	1470	1900
205	1477	1893
206	1483	1885
207	1490	1877
208	1497	1869
209	1503	1861
210	1510	1854
211	1517	1846
212	1523	1838
213	1530	1830
214	1537	1823
215	1544	1816
216	1551	1809
217	1558	1801
218	1565	1793
219	1572	1786
220	1579	1779
221	1586	1771
222	1593	1764
223	1600	1757
224	1607	1750
225	1613	1742
226	1620	1734
227	1627	1726
228	1633	1719
229	1640	1711
230	1647	1704
231	1653	1696
232	1660	1689
233	1667	1681
234	1674	1674
235	1682	1668
236	1689	1660
237	1696	1653
238	1703	1646
239	1709	1638
240	1716	1631
241	1723	1623
242	1731	1617
243	1738	1610
244	1746	1603
245	1752	1596
246	1759	1588
247	1765	1580
248	1772	1573
249	1779	1566
250	1786	1559
251	1793	1551
252	1800	1544
253	1807	1536
254	1813	1529
255	1820	1522
256	1827	1514
257	1834	1507
258	1841	1499
259	1847	1492
260	1854	1485
261	1861	1477
262	1869	1471
263	1876	1464
264	1883	1456
265	1889	1448
266	1896	1441
267	1902	1434
268	1910	1427
269	1917	1420
270	1924	1413
271	1931	1405
272	1938	1398
273	1945	1391
274	1952	1384
275	1959	1377
276	1965	1369
277	1972	1362
278	1979	1354
279	1986	1347
280	1992	1340
281	1999	1333
282	2007	1326
283	2014	1319
284	2020	1311
285	2027	1304
286	2033	1296
287	2040	1289
288	2047	1282
289	2054	1275
290	2061	1268
291	2068	1260
292	2075	1253
293	2082	1246
294	2089	1239
295	2096	1232
296	2103	1225
297	2110	1218
298	2116	1210
299	2123	1203
300	2130	1195
301	2137	1189
302	2144	1181
303	2151	1174
304	2157	1167
305	2165	1160
306	2172	1153
307	2178	1146
308	2186	1139
309	2194	1132
310	2201	1125
311	2207	1118
312	2214	1110
313	2221	1103
314	2228	1096
315	2236	1089
316	2242	1082
317	2249	1075
318	2257	1068
319	2264	1061
320	2273	1055
321	2281	1048
322	2288	1041
323	2295	1034
324	2302	1027
325	2308	1019
326	2315	1012
327	2322	1005
328	2329	998
329	2335	990
330	2342	983
331	2349	976
332	2356	969
333	2362	962
334	2369	955
335	2376	947
336	2382	940
337	2389	933
338	2396	925
339	2402	918
340	2409	911
341	2417	904
342	2423	897
343	2431	890
344	2437	883
345	2444	876
346	2452	869
347	2460	862
348	2467	855
349	2474	848
350	2480	841
351	2487	833
352	2494	826
353	2501	819
354	2508	812
355	2514	805
356	2521	798
357	2527	790
358	2534	783
359	2540	776
360	2547	769
361	2555	762
362	2561	755
363	2568	748
364	2575	740
365	2582	733
366	2588	726
367	2595	719
368	2602	712
369	2609	705
370	2616	698
371	2622	690
372	2629	683
373	2635	676
374	2642	669
375	2648	662
376	2656	655
377	2663	648
378	2670	641
379	2677	634
380	2684	627
381	2693	620
382	2700	613
383	2707	606
384	2714	599
385	2721	592
386	2728	585
387	2735	578
388	2742	571
389	2749	563
390	2756	556
391	2763	549
392	2770	542
393	2776	535
394	2783	528
395	2790	521
396	2796	514
397	2803	507
398	2810	500
399	2817	493
400	2824	485
401	2831	478
402	2838	471
403	2844	464
404	2851	457
405	2858	450
406	2864	443
407	2871	436
408	2878	429
409	2885	422
410	2892	415
411	2899	408
412	2906	401
413	2913	394
414	2920	387
415	2927	379
416	2934	372
417	2941	365
418	2949	358
419	2956	351
420	2964	345
421	2971	337
422	2977	330
423	2984	323
424	2991	316
425	2999	309
426	3006	302
427	3012	295
428	3020	288
429	3027	281
430	3033	274
431	3040	267
432	3047	260
433	3056	253
434	3064	246
435	3072	239
436	3079	232
437	3086	225
438	3093	218
439	3101	211
440	3107	204
441	3114	197
442	3121	190
443	3128	183
444	3134	176
445	3142	169
446	3148	162
447	3156	154
448	3163	147
449	3170	140
450	3176	133
451	3183	126
452	3189	119
453	3196	112
454	3203	105
455	3210	98
456	3216	91
457	3223	84
458	3231	77
459	3238	70
460	3244	63
461	3252	56
462	3260	49
463	3268	42
464	3276	35
465	3283	28
466	3290	21
467	3297	14
468	3304	7
469	3311	0
